#Core Supplements#

###About Supplements###
Core supplements focus on gentle, foundational support and are often best assessed through energetic testing before physical use in birds.

For best outcomes, supplements must be alcohol-free and additive-free. Many substances are best used energetically only.

###Bird Supplements – Core List###

###TABLE_START###
No. | SET 1 | SET 2 | SET 3
1. | Vitamin B12\nNervous system | Vitamin E\nCell protection | Vitamin C\nAntioxidant
2. | Calcium (low dose)\nBone support | Magnesium (low dose)\nNerve support | Zinc (trace)\nImmune
3. | Spirulina\nNutrition | Barley Grass Juice Powder\nMinerals | Atlantic Dulse\nTrace minerals
4. | Milk Thistle\nLiver support | Dandelion Leaf\nLiver balance | Burdock Root\nBlood support
5. | Slippery Elm\nGut lining | Marshmallow Root\nDigestive soothe | Aloe Vera (Inner Leaf)\nGut comfort
6. | Probiotics (avian)\nGut health | Saccharomyces boulardii\nGut resilience | Prebiotics\nMicrobiome
7. | Chamomile\nCalming | Lemon Balm\nNervous balance | L-Theanine\nStress support
8. | CoQ10\nCell energy | MSM (very low)\nTissue support | Choline\nLiver function
9. | Nettle Leaf\nMinerals | Alfalfa Leaf\nNutrition | Moringa Leaf\nMicronutrients
10. | Omega 3 (Algae)\nFeathers | Hemp Seed Oil\nFat support | Flaxseed Oil\nOmega balance
###TABLE_END###

##Important Bird Safety Note##
Many supplements suitable for mammals are not appropriate for birds. Energetic testing is strongly recommended, and physical use should be supervised by an avian veterinarian.
