#Control & Obedience#

###TABLE_START###
No. |SECTION 1 — (1–19) |No. |SECTION 2 — (20–38)
1. |I must obey to stay safe |20. |My choices do not matter
2. |I cannot say no |21. |I am only valued when compliant
3. |I must follow every command |22. |If I resist, I will be punished
4. |I have no control over my life |23. |I must hide my true reactions
5. |My needs are less important than obedience |24. |I must not question authority
6. |I must submit to avoid conflict |25. |I am wrong to want freedom
7. |I cannot trust my decisions |26. |I am expected to obey without hesitation
8. |Disobedience is dangerous |27. |I must not act independently
9. |I must suppress my impulses |28. |If I speak up, I will be shut down
10. |I am responsible for pleasing others |29. |I must not challenge rules
11. |I cannot express my boundaries |30. |My autonomy is not allowed
12. |I must be perfect to avoid correction |31. |Mistakes mean I will lose approval
13. |I must adjust myself for others |32. |I am controlled by expectations
14. |I am wrong if I assert myself |33. |I must follow even when it hurts
15. |I must earn safety through obedience |34. |I am not allowed to choose differently
16. |I cannot trust my natural behavior |35. |My freedom is a threat to others
17. |I must obey even when afraid |36. |I cannot handle life without direction
18. |I must conform to belong |37. |I will be rejected if I resist
19. |My voice has no power |38. |Control from others is normal for me
###TABLE_END###
