#Responsibility & Obligation#

###TABLE_START###
No. |SECTION 1 — (1–20) |No. |SECTION 2 — (21–40)
1. |I am responsible for everything |21. |I must never let anyone down
2. |I must take care of others first |22. |I cannot rest until everything is done
3. |My needs are less important |23. |I must carry others’ burdens
4. |I must always be reliable |24. |I am obligated to keep going
5. |I am wrong if I ask for help |25. |I must not show when I am overwhelmed
6. |I must fix every problem |26. |I cannot step away from duty
7. |I am responsible for others’ emotions |27. |Obligation comes before wellbeing
8. |I cannot set limits |28. |I must not take breaks
9. |I must be strong for everyone |29. |I have no right to say no
10. |I must handle everything alone |30. |I will be judged if I stop helping
11. |I must always be useful |31. |I must meet all expectations placed on me
12. |I cannot disappoint others |32. |I must not burden anyone with my needs
13. |I must stay in control of situations |33. |I must fulfill every obligation perfectly
14. |I am wrong if I focus on myself |34. |I am responsible for keeping harmony
15. |I must anticipate what others need |35. |Others depend on me completely
16. |I cannot fail in my duties |36. |My worth comes from what I do
17. |I must keep working even when tired |37. |If I rest, everything will fall apart
18. |My responsibility never ends |38. |I exist to meet obligations
19. |I must earn belonging through service |39. |If I don’t help, others will suffer
20. |I must solve problems before they appear |40. |I am selfish if I put myself first
###TABLE_END###
