#Self-Worth#

###TABLE_START###
No. |SECTION 1 — (1–20) |No. |SECTION 2 — (21–40)
1. |I am not good enough |21. |I must prove my worth constantly
2. |I am unworthy of care |22. |If I fail, I lose my value
3. |I am insignificant |23. |Others deserve more than I do
4. |My needs do not matter |24. |I must earn affection
5. |I am not lovable |25. |I cannot make mistakes
6. |I am a burden |26. |I must hide my true self
7. |I am replaceable |27. |My feelings are unimportant
8. |I do not deserve comfort |28. |I will be rejected if I show weakness
9. |I am always wrong |29. |I am only valued when performing well
10. |I am not allowed to express myself |30. |I am not worthy of respect
11. |I am too much trouble |31. |My existence is not enough
12. |I must stay small |32. |I am defined by others’ expectations
13. |I cannot take up space |33. |I do not deserve peace
14. |I bring no value to others |34. |My worth is fragile
15. |I am not capable |35. |I must be perfect to be accepted
16. |I am unimportant |36. |I must shrink to be safe
17. |I cannot trust my inner value |37. |I must earn everything I receive
18. |I am undeserving of kindness |38. |My worth is conditional
19. |I am less than others |39. |I am not worthy of being seen
20. |I am flawed beyond repair |40. |I do not deserve good things
###TABLE_END###
