#Freedom & Autonomy Beliefs#

###TABLE_START###
No.|Set 1|Set 2
1.|I am not free.|My life is controlled by others.
2.|I have no choices.|Choice is an illusion.
3.|I am trapped by my circumstances.|There is no way out.
4.|I cannot do what I want.|My desires are wrong.
5.|I am powerless.|I have no control over my life.
6.|I must obey to survive.|Rebellion is dangerous.
7.|I have to sacrifice my needs.|My needs do not matter.
8.|I am not allowed to say no.|Saying no will bring punishment.
9.|I am not allowed to leave.|Leaving means I will lose everything.
10.|I am stuck in the past.|The future is closed to me.
11.|I must please everyone to stay safe.|Autonomy leads to rejection.
12.|I cannot be myself.|My true self is unacceptable.
13.|I have no personal space.|Boundaries will be crossed.
14.|I am always restrained.|I will never be free.
15.|My freedom threatens others.|Independence leads to isolation.
16.|I must ask permission to exist.|Self-expression is forbidden.
17.|If I take control, I will be punished.|Authority must always be obeyed.
18.|Change is unsafe.|Familiar restriction is safer than freedom.
19.|I cannot trust my own choices.|Following others keeps me secure.
20.|Freedom means danger.|Control from others keeps me alive.
###TABLE_END###
