#Safety & Survival Beliefs#

###TABLE_START###
No.|Set 1|Set 2
1.|The ground is never stable.|Noise means danger is near.
2.|I am never truly safe, even when it’s quiet.|Stillness means danger is near.
3.|The unknown is dangerous.|I must control everything to stay safe.
4.|I have to watch everyone all the time.|Safety is not real; it is an illusion.
5.|Rest is unsafe; sleep is risky.|I was born unsafe.
6.|If I trust, I will get hurt.|The world will always hurt me.
7.|Safety is temporary and can vanish.|Safety is only for others, not for me.
8.|Danger comes when I least expect it.|I must stay invisible to survive.
9.|The environment will turn against me.|I have to anticipate every threat.
10.|Humans cannot be trusted with my safety.|Being alone means death.
11.|Comfort means I am vulnerable.|Even the herd/flock/pack can turn on me.
12.|If I feel joy, something bad will follow.|I must always be tense to survive.
13.|I am a target for harm.|If I relax, I will lose control.
14.|The past danger could return at any moment.|Every sound or movement means threat.
15.|My body must stay alert at all times.|Letting my guard down means I won’t survive.
16.|I can’t rely on anyone to protect me.|Fear keeps me alive.
17.|The world is unpredictable and unsafe.|Peace means weakness.
18.|If I move too fast or too slow, I’ll be hurt.|It’s never safe to stop watching.
19.|I must hide my fear to stay protected.|Safety comes only through control.
20.|Trusting calmness means I’ll be caught off guard.|It’s safer to expect pain than hope for peace.
###TABLE_END###
