#Freedom & Autonomy#

###TABLE_START###
No. |SECTION 1 — (1–20) |No. |SECTION 2 — (21–40)
1. |I am not free to move as my body needs |21. |I must obey even when I know the safer path
2. |I cannot choose my own pace |22. |I am not allowed to run when I need release
3. |My freedom depends on human decisions |23. |I cannot trust that I will be given space
4. |I fear confinement in small spaces |24. |I fear losing access to the outdoors
5. |I cannot roam where I feel safe |25. |I cannot choose my companions
6. |I must wait for permission to move |26. |I must adapt to whatever environment I’m put in
7. |I am not allowed to express my natural instincts |27. |I am not free to show resistance
8. |My environment restricts my autonomy |28. |I fear the loss of open fields
9. |I must tolerate being controlled |29. |I cannot follow my instincts without judgment
10. |I cannot choose the direction I want to go |30. |I must suppress my energy to stay safe
11. |I fear being tied or restrained |31. |I cannot control my living conditions
12. |I cannot decide how close others get |32. |I fear confinement during stress
13. |I must suppress my desire to explore |33. |I cannot choose what feels comfortable
14. |I am not free to respond to danger naturally |34. |I must ignore my need for freedom
15. |I fear losing my personal space |35. |I fear losing my sense of autonomy
16. |I cannot choose when to rest |36. |I cannot initiate movement without consequence
17. |I must follow the path chosen for me |37. |I must endure restrictions silently
18. |My freedom is secondary to expectations |38. |I fear unpredictable limitations
19. |I cannot express discomfort freely |39. |My autonomy is fragile and easily taken
20. |I fear correction when acting independently |40. |I must absorb the expectations placed on me
###TABLE_END###
