#Safety & Survival — Negative Beliefs (Horse)#

###TABLE_START###
No. |SECTION 1 — (1–19) |No. |SECTION 2 — (20–38)
1. |I am not safe |20. |I must always be alert
2. |Danger is everywhere |21. |I cannot trust my surroundings
3. |I am vulnerable |22. |I might get hurt at any moment
4. |I must stay tense to survive |23. |I am not protected
5. |I must hide my fear |24. |I am unsafe unless controlled
6. |My body is not secure |25. |I must obey to avoid danger
7. |I cannot rely on myself |26. |My instincts are wrong
8. |I have no escape |27. |If I relax, something bad happens
9. |I must not show weakness |28. |I must sacrifice comfort to survive
10. |I am always at risk |29. |I am only safe alone
11. |Others can harm me |30. |I cannot stop bad things
12. |I must avoid drawing attention |31. |I am not strong enough
13. |I am powerless |32. |My boundaries don’t matter
14. |I must endure suffering |33. |I cannot protect myself
15. |It is unsafe to express needs |34. |I must anticipate every threat
16. |Pain is unavoidable |35. |Something bad will happen if I rest
17. |I am fragile |36. |I must silence myself to stay safe
18. |My environment controls me |37. |I cannot trust safety signals
19. |I must be ready to flee |38. |Safety is not meant for me
###TABLE_END###
