#Trust & Relationship#

###TABLE_START###
No. |SECTION 1 — (1–20) |No. |SECTION 2 — (21–40)
1. |I cannot trust humans to understand me |21. |I must not resist even when scared
2. |I fear being mishandled |22. |I fear being controlled
3. |My past experiences define my ability to bond |23. |I cannot rely on humans during stress
4. |It is unsafe to show affection |24. |I am judged for reacting naturally
5. |I must stay guarded with people |25. |I cannot bond without fear of pain
6. |I cannot rely on others for guidance |26. |I must remain distant to protect myself
7. |I am alone even in a herd |27. |My needs do not matter in relationships
8. |Humans are unpredictable |28. |I fear inconsistency from people
9. |I must earn connection through obedience |29. |I must anticipate human behavior to stay safe
10. |I cannot trust new handlers |30. |Connection is dangerous for me
11. |I fear abandonment |31. |I cannot trust humans to see my pain
12. |I am not worthy of gentle interaction |32. |I fear emotional closeness
13. |I must hide my emotions to stay safe |33. |I must stay invisible to avoid conflict
14. |I cannot trust touch |34. |I cannot trust changing environments
15. |I must not express confusion |35. |I am not safe forming attachments
16. |I fear losing my herd mates |36. |I must protect myself from disappointment
17. |I am unsafe when separated |37. |I fear failing those who care for me
18. |I cannot trust my rider’s intentions |38. |I cannot trust my instincts around people
19. |I am misunderstood when I communicate |39. |Relationship requires sacrifice I cannot afford
20. |I am only valued for my performance |40. |Trust leads to vulnerability and danger
###TABLE_END###
